purpose	level	name	size	start	end
focus	pango_lineage	A.1	10		
focus	pango_lineage	A.3	10		
focus	pango_lineage	B.1	10		
focus	pango_lineage	B.1.1.186	10		
focus	pango_lineage	B.1.1.192	10		
focus	pango_lineage	B.1.1.222	10		
focus	pango_lineage	B.1.1.225	10		
focus	pango_lineage	B.1.1.232	10		
focus	pango_lineage	B.1.1.247	10		
focus	pango_lineage	B.1.1.28	10		
focus	pango_lineage	B.1.1.29	10		
focus	pango_lineage	B.1.1.304	10		
focus	pango_lineage	B.1.1.7	10		
focus	pango_lineage	B.1.111	10		
focus	pango_lineage	B.1.189	10		
focus	pango_lineage	B.1.2	10		
focus	pango_lineage	B.1.216	10		
focus	pango_lineage	B.1.232	10		
focus	pango_lineage	B.1.234	10		
focus	pango_lineage	B.1.240	10		
focus	pango_lineage	B.1.241	10		
focus	pango_lineage	B.1.243	10		
focus	pango_lineage	B.1.361	10		
focus	pango_lineage	B.1.369	10		
focus	pango_lineage	B.1.375	10		
focus	pango_lineage	B.1.38	10		
focus	pango_lineage	B.1.400	10		
focus	pango_lineage	B.1.426	10		
focus	pango_lineage	B.1.428	10		
focus	pango_lineage	B.1.429	10		
focus	pango_lineage	B.1.503	10		
focus	pango_lineage	B.1.509	10		
focus	pango_lineage	P.2	10		
focus	pango_lineage	P.1	10		
